,Dataset,Rounds,no-clients,global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0,Drebin,10,5,0.9828125,0.5656247794628143,0.976632127591641,0.9789806456332751,0.9743011722272316,0.9963351220399328,0.025698827772768263
1,Drebin,10,10,0.9784242021276596,0.5673976004123688,0.9705265276312016,0.9774052245741206,0.963751127141569,0.9956908172921917,0.03624887285843102
2,Drebin,10,15,0.973404255319149,0.5712903499603271,0.9636328109844982,0.9714896614312227,0.9559062218214608,0.9944344491500676,0.044093778178539225
3,Drebin,20,5,0.9841256648936169,0.5626701921224594,0.9783546898330613,0.9835932539794934,0.9731740306582504,0.9961225261646419,0.02682596934174933
4,Drebin,20,10,0.9825964095744683,0.5641985952854156,0.9763189553192169,0.9794863865966331,0.9731740306582506,0.9957854995581654,0.02682596934174933
5,Drebin,20,15,0.9780585106382975,0.5666748732328415,0.9701143962398241,0.9740345863979629,0.9662308385933274,0.9946501195874056,0.033769161406672674
6,Malgenome,10,5,0.994342105263158,0.5687326312065124,0.9917229578931707,0.9884923817161188,0.994980694980695,0.9999206220763106,0.005019305019305019
7,Malgenome,10,10,0.9896052631578949,0.5731565237045289,0.9847203620957234,0.9849537432371015,0.9845559845559848,0.9990050786457972,0.015444015444015446
8,Malgenome,10,15,0.9875000000000002,0.5741019368171691,0.9814797992794139,0.986408804848405,0.9768339768339768,0.999313342427115,0.02316602316602317
9,Malgenome,20,5,0.9923026315789473,0.5685449600219726,0.9887744115045395,0.9826607391708627,0.9949806949806946,0.9998593546497737,0.005019305019305022
10,Malgenome,20,10,0.9940131578947371,0.5690487742424011,0.9912037043077101,0.9903607523293481,0.9920849420849418,0.9998289136013689,0.007915057915057913
11,Malgenome,20,15,0.9897368421052629,0.5711438089609147,0.9849173278998202,0.983658320866649,0.9862934362934362,0.9992994705569558,0.01370656370656371
12,Kronodroid,10,5,0.9596941387253647,0.5231868863105774,0.9618050809438328,0.9657158115556674,0.9579468599033817,0.9888754153419118,0.042053140096618355
13,Kronodroid,10,10,0.9516636805733298,0.5270468175411225,0.9538728170879642,0.9647288318982306,0.9432608695652173,0.9855762371830779,0.05673913043478261
14,Kronodroid,10,15,0.9478884054261583,0.5301834940910339,0.9502984130270562,0.9605360386390395,0.940277777777778,0.9844247539177247,0.05972222222222222
15,Kronodroid,20,5,0.9661824929613513,0.5153854787349701,0.9680463956453014,0.9692020147947191,0.9668961352657007,0.9904858768957474,0.03310386473429952
16,Kronodroid,20,10,0.9622920399283339,0.5183635622262954,0.9643013691591241,0.9671719742903171,0.9614553140096618,0.9896423564268039,0.03854468599033816
17,Kronodroid,20,15,0.9598765037112875,0.5214634627103806,0.9619193415613323,0.9671416800694546,0.9567693236714977,0.9881449498072368,0.043230676328502415
18,Tuandromd,10,5,0.986114221724524,0.3933530539274216,0.9914768980957731,0.9922976475077533,0.9906593406593405,0.9971037296037297,0.009340659340659339
19,Tuandromd,10,10,0.9857782754759239,0.3940271079540253,0.9912359445001707,0.9951545391626826,0.9873626373626376,0.9985493672993673,0.01263736263736264
20,Tuandromd,10,15,0.9780515117581187,0.39655776023864747,0.9864300296425608,0.9945594644337662,0.9784340659340657,0.9967211954711954,0.02156593406593407
21,Tuandromd,20,5,0.9870660694288917,0.39130237996578215,0.9920525796915081,0.9937275398525797,0.9903846153846152,0.9975308025308026,0.009615384615384614
22,Tuandromd,20,10,0.9867861142217246,0.3920262515544891,0.9918822409246915,0.9931150375719497,0.9906593406593405,0.9989722777222777,0.00934065934065934
23,Tuandromd,20,15,0.9832026875699891,0.3935658559203148,0.989664273171613,0.9924033531936768,0.9869505494505496,0.9981761988011989,0.013049450549450548
