,Dataset,Rounds,no-clients,global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0,Drebin,10,5,0.0013218680420260046,0.003779966836897119,0.0018339897298074394,0.0010402879553311631,0.0034276966291700733,0.0002711934420456479,0.0034276966291701015
1,Drebin,10,10,0.003756648936170215,0.003306424456878865,0.00517825181155834,0.0041181756317195915,0.006562093921969438,0.00041705880407233095,0.006562093921969433
2,Drebin,10,15,0.003913846450202524,0.004006898946187188,0.00540269546680689,0.004264451945641413,0.006607165050215452,0.001090517685075691,0.006607165050215464
3,Drebin,20,5,0.0022642410083026096,0.002451005552620605,0.0031111649654376183,0.0025526001308812294,0.003877104862487583,0.00023589178535461411,0.0038771048624875906
4,Drebin,20,10,0.0035717151247871876,0.0024608749246895975,0.004876633401777767,0.004509688515820809,0.005401819354657116,0.0003942521696881355,0.005401819354657131
5,Drebin,20,15,0.005094143965260094,0.0026615675910316855,0.006996789190212986,0.005832188514392578,0.008271591204030176,0.0005385652738545292,0.008271591204030159
6,Malgenome,10,5,0.0011842105263157768,0.0036552320657114654,0.0017542032435649776,4.0096230954300704e-05,0.0034749034749034682,3.215599079065393e-05,0.0034749034749034743
7,Malgenome,10,10,0.003026315789473691,0.004440674510783806,0.004553974653028298,0.001963431215639017,0.010215256027276432,0.0006526848629686725,0.010215256027276411
8,Malgenome,10,15,0.005590169943749465,0.004272405880497858,0.008656237820879157,0.002957104007936482,0.018836001417220798,0.00035596542413589033,0.0188360014172208
9,Malgenome,20,5,0.001516015608131973,0.0029178623884798098,0.002239520845463403,0.002764601488711783,0.004247104247104239,0.0001069767207816127,0.0042471042471042475
10,Malgenome,20,10,0.0034930431453837627,0.0029741253976646805,0.005212478279604339,0.002287973884701712,0.009175470763178494,0.00016241727969322291,0.00917547076317849
11,Malgenome,20,15,0.004089544807347382,0.003338925422888984,0.006219658647154741,0.002246606289338536,0.013401354742709348,0.0007221901505936078,0.013401354742709341
12,Kronodroid,10,5,0.004211874341669791,0.009767217378596335,0.0040197888603100895,0.004291413898697141,0.005821907474524897,0.0013374365748433583,0.005821907474524877
13,Kronodroid,10,10,0.0031636343934365453,0.005214925390611476,0.0029850015741351072,0.003744032571339757,0.0025332395506211646,0.0015469857826908965,0.0025332395506211577
14,Kronodroid,10,15,0.0041025257858919055,0.004694199450379698,0.0038956950242271487,0.004289124799388839,0.0036244965432392323,0.0021762344152305257,0.003624496543239232
15,Kronodroid,20,5,0.003327084265221815,0.0062514915970175245,0.003157572445555214,0.002941990742924886,0.003713625738600663,0.0011284637860670514,0.0037136257386006667
16,Kronodroid,20,10,0.003967501456796495,0.003645117013104322,0.0038397305467571204,0.0020859465927737437,0.005659894366959503,0.0013560782711864647,0.005659894366959503
17,Kronodroid,20,15,0.005630208955121775,0.0032857001389060636,0.005422471659927343,0.004002170484951694,0.007601357073657642,0.0016644671733772804,0.007601357073657655
18,Tuandromd,10,5,0.002752117744108521,0.004333339900802972,0.001685628459235555,0.0021348377284353204,0.0017156587907687848,0.0003401598809087951,0.0017156587907687906
19,Tuandromd,10,10,0.005733001449572293,0.0041972709676331476,0.0035467796843086687,0.0023403340410222523,0.005821324203411323,0.0009178114022703385,0.005821324203411289
20,Tuandromd,10,15,0.0033294666847298003,0.003947383944887023,0.0020441873968574365,0.0028697197101749945,0.001380477420483634,0.0013284976840446043,0.001380477420483639
21,Tuandromd,20,5,0.003254712570959372,0.0029543670121959533,0.002007451165302187,0.0014200802198962163,0.002712694733259828,0.0005547598406836772,0.0027126947332598212
22,Tuandromd,20,10,0.005283371158828861,0.0031273221229611956,0.003255867034772631,0.002717698521504075,0.0045267189706824605,0.000604913545435501,0.00452671897068244
23,Tuandromd,20,15,0.005698996931690675,0.0030886029386558737,0.003523827607170103,0.0027063024774852847,0.005239623934824379,0.0008466172002427065,0.005239623934824354
