,Dataset,Rounds,no-clients,global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0,Drebin,10,5,0.0012828312088813065,0.0007175409977158363,0.001762121794836001,0.0013031707670463017,0.0023788829500942855,0.00016791403238105863,0.002378882950094305
1,Drebin,10,10,0.0028530444875620405,0.0017443765231661185,0.0038866436540065967,0.0036252012414175836,0.004462341941085154,0.0003909361254736143,0.0044623419410851645
2,Drebin,10,15,0.004360505965975938,0.0022404024122033997,0.0058950089243704745,0.007032511940305248,0.005072888432474367,0.0010465412664127107,0.005072888432474375
3,Drebin,20,5,0.001415438893439996,0.0008084053269738831,0.0019199829818736835,0.002243928785357621,0.0018391413935411158,9.324002296204497e-05,0.00183914139354113
4,Drebin,20,10,0.0017544248406860098,0.0010745805607512832,0.0024550749470828234,0.0012526828981985296,0.004789277448111614,0.00037822329387641746,0.004789277448111632
5,Drebin,20,15,0.0027081664700021758,0.0019341050065761446,0.003619130851751528,0.005358015684029316,0.002821368412472873,0.000396308397754326,0.002821368412472861
6,Malgenome,10,5,0.0006029704861783764,0.0005072694056145273,0.000877486108100148,0.003393024606406886,0.0034749034749034682,4.839839538870556e-05,0.0034749034749034743
7,Malgenome,10,10,0.003639293864720873,0.00211331731145096,0.005472896900900783,0.0016159473964723688,0.011615142051344656,0.00024708741046733243,0.011615142051344653
8,Malgenome,10,15,0.001027664431040346,0.0020154304747660745,0.001561160163261866,0.003326388676917803,0.0053080027354701,0.0006186245251639451,0.005308002735470086
9,Malgenome,20,5,0.0014577973556684333,0.0007127226396893478,0.002154734580802657,0.001910162377529497,0.0037433821292790115,2.5431761958682514e-05,0.003743382129279017
10,Malgenome,20,10,0.0015344610249592996,0.0011432830539725093,0.0023096323196491807,0.0017013982888423565,0.006015612529298419,0.00027452654051405293,0.006015612529298409
11,Malgenome,20,15,0.0023902502795506582,0.0018892638368981276,0.0036028323975861865,0.0020711588746198475,0.008199521460075411,0.00026012467986907963,0.008199521460075403
12,Kronodroid,10,5,0.003108966751955846,0.0014665077260209425,0.003045013190193176,0.0008376243004084803,0.005281466005867661,0.0011582881417165178,0.005281466005867675
13,Kronodroid,10,10,0.0030916662597923663,0.0016373064298612126,0.0029161111222648366,0.0035100780588603916,0.0024820530168049517,0.0016670862371605227,0.002482053016804946
14,Kronodroid,10,15,0.004136814393653643,0.0019115185111717554,0.0039003690683724174,0.004657535174997361,0.0032457153685489506,0.0017182322565830286,0.00324571536854895
15,Kronodroid,20,5,0.0029247075651355928,0.001332324251985178,0.002826963215502843,0.0013295907820624075,0.0043610741532956205,0.0007763033722329264,0.004361074153295615
16,Kronodroid,20,10,0.0029679454736142993,0.001716841544153188,0.0028351208456467263,0.002236795247427518,0.003533202188057839,0.0011996355057833617,0.003533202188057833
17,Kronodroid,20,15,0.00469961230158267,0.0017894500859706756,0.00459453159199097,0.0016805673516253035,0.0075252764534567,0.001497633106073512,0.0075252764534567
18,Tuandromd,10,5,0.002297680238374368,0.0010744800454502482,0.0014133481358027473,0.001493726046746353,0.0021324415791565882,0.0004191054683715689,0.0021324415791565956
19,Tuandromd,10,10,0.0047457155879993594,0.0017091121706216956,0.0029405391171704,0.0016836020231804716,0.004389160799085319,0.0004868428994493808,0.00438916079908529
20,Tuandromd,10,15,0.008113099971637158,0.0034150435989012385,0.004983504315423275,0.005264618941373354,0.006278238946168403,0.0012977577218051249,0.006278238946168374
21,Tuandromd,20,5,0.0016410247356945932,0.0007790013759793954,0.001009169425954397,0.0008519277053805497,0.0015826536568410532,0.00021000606993548215,0.00158265365684106
22,Tuandromd,20,10,0.0028654068492551003,0.0012441941047436234,0.0017640654144413204,0.001751761359667685,0.0022191613216213757,0.00035140134039651067,0.002219161321621362
23,Tuandromd,20,15,0.006165119645465082,0.002270833253230685,0.0038211431047732963,0.0024290960351500863,0.005869741928357574,0.0008043466054250235,0.005869741928357553
