transact,bindService,onServiceConnected,ServiceConnection,android.os.Binder,READ_SMS,attachInterface,WRITE_SMS,TelephonyManager.getSubscriberId,Ljava.lang.Class.getCanonicalName,Ljava.lang.Class.getMethods,android.intent.action.BOOT_COMPLETED,Ljava.lang.Class.getField,READ_PHONE_STATE,Landroid.content.Context.unregisterReceiver,GET_ACCOUNTS,SEND_SMS,Landroid.content.Context.registerReceiver,getBinder,Ljava.lang.Class.cast,chmod,createSubprocess,Ljava.net.URLDecoder,WRITE_APN_SETTINGS,TelephonyManager.getDeviceId,RECEIVE_SMS,Ljava.lang.Class.getDeclaredField,HttpGet.init,Ljava.lang.Class.getPackage,abortBroadcast,ClassLoader,TelephonyManager.getLine1Number,getCallingUid,USE_CREDENTIALS,MANAGE_ACCOUNTS,android.telephony.gsm.SmsManager,.system.bin,Ljava.lang.Class.getMethod,RESTART_PACKAGES,INSTALL_PACKAGES,Ljava.lang.Class.forName,TelephonyManager.getSimSerialNumber,CAMERA,CALL_PHONE,android.intent.action.SEND,onBind,android.content.pm.Signature,READ_SYNC_SETTINGS,AUTHENTICATE_ACCOUNTS,INTERNET,PackageInstaller,ACCESS_LOCATION_EXTRA_COMMANDS,HttpUriRequest,remount,android.telephony.SmsManager,RECEIVE_BOOT_COMPLETED,android.intent.action.ACTION_POWER_CONNECTED,findClass,WRITE_CONTACTS,.system.app,Ljava.lang.Class.getResource,WRITE_SYNC_SETTINGS,android.intent.action.TIME_SET,android.intent.action.SEND_MULTIPLE,ACCESS_WIFI_STATE,URLClassLoader,BLUETOOTH,WAKE_LOCK,SYSTEM_ALERT_WINDOW,TelephonyManager.getSimCountryIso,chown,NFC,READ_HISTORY_BOOKMARKS,HttpPost.init,TelephonyManager.getNetworkOperator,Ljava.lang.Class.getClasses,BIND_REMOTEVIEWS,READ_PROFILE,READ_CALENDAR,CHANGE_WIFI_STATE,READ_SYNC_STATS,WRITE_HISTORY_BOOKMARKS,DISABLE_KEYGUARD,READ_LOGS,RECORD_AUDIO,getCallingPid,MODIFY_AUDIO_SETTINGS,android.intent.action.PACKAGE_REPLACED,android.intent.action.TIMEZONE_CHANGED,BROADCAST_STICKY,Runtime.exec,android.intent.action.PACKAGE_ADDED,MOUNT_UNMOUNT_FILESYSTEMS,android.intent.action.ACTION_POWER_DISCONNECTED,Ljava.lang.Class.getDeclaredClasses,android.intent.action.PACKAGE_REMOVED,BLUETOOTH_ADMIN,android.os.IBinder,IBinder,WRITE_SECURE_SETTINGS,WRITE_SETTINGS,Ljavax.crypto.spec.SecretKeySpec,android.intent.action.BATTERY_OKAY,READ_CONTACTS,Binder,SUBSCRIBED_FEEDS_READ,READ_CALL_LOG,SUBSCRIBED_FEEDS_WRITE,BATTERY_STATS,RECEIVE_WAP_PUSH,PathClassLoader,KILL_BACKGROUND_PROCESSES,ACCESS_COARSE_LOCATION,android.intent.action.ACTION_SHUTDOWN,Runtime.load,android.intent.action.SENDTO,SET_WALLPAPER,android.intent.action.NEW_OUTGOING_CALL,CHANGE_NETWORK_STATE,REBOOT,DexClassLoader,WRITE_CALENDAR,PROCESS_OUTGOING_CALLS,BIND_DEVICE_ADMIN,CHANGE_WIFI_MULTICAST_STATE,MASTER_CLEAR,android.intent.action.PACKAGE_DATA_CLEARED,FLASHLIGHT,android.intent.action.BATTERY_LOW,SET_ALARM,RECEIVE_MMS,divideMessage,WRITE_CALL_LOG,WRITE_PROFILE,WRITE_USER_DICTIONARY,BIND_INPUT_METHOD,READ_SOCIAL_STREAM,REORDER_TASKS,defineClass,PERSISTENT_ACTIVITY,ProcessBuilder,android.intent.action.SCREEN_ON,READ_USER_DICTIONARY,WRITE_SOCIAL_STREAM,SET_TIME,mount,System.loadLibrary,CHANGE_COMPONENT_ENABLED_STATE,ACCESS_MOCK_LOCATION,DUMP,CALL_PRIVILEGED,DELETE_PACKAGES,READ_FRAME_BUFFER,WRITE_GSERVICES,ACCOUNT_MANAGER,KeySpec,sendDataMessage,android.intent.action.CALL,BIND_APPWIDGET,android.intent.action.SCREEN_OFF,intent.action.RUN,SecretKey,CLEAR_APP_CACHE,ACCESS_FINE_LOCATION,SET_WALLPAPER_HINTS,Context.bindService,MessengerService,ACCESS_NETWORK_STATE,android.content.pm.PackageInfo,BIND_ACCESSIBILITY_SERVICE,INTERNAL_SYSTEM_WINDOW,SET_TIME_ZONE,Process.start,MOUNT_FORMAT_FILESYSTEMS,CLEAR_APP_USER_DATA,UPDATE_DEVICE_STATS,IRemoteService,android.intent.action.SET_WALLPAPER,BROADCAST_WAP_PUSH,android.intent.action.CALL_BUTTON,INJECT_EVENTS,ACCESS_SURFACE_FLINGER,SET_PROCESS_LIMIT,ADD_VOICEMAIL,INSTALL_LOCATION_PROVIDER,SET_ACTIVITY_WATCHER,TelephonyManager.getCallState,VIBRATE,Runtime.getRuntime,CHANGE_CONFIGURATION,BROADCAST_SMS,BIND_WALLPAPER,BROADCAST_PACKAGE_REMOVED,TelephonyManager.isNetworkRoaming,TelephonyManager.getSimOperator,WRITE_EXTERNAL_STORAGE,android.intent.action.CAMERA_BUTTON,android.intent.action.REBOOT,sendMultipartTextMessage,BIND_VPN_SERVICE,STATUS_BAR,Ljavax.crypto.Cipher,MODIFY_PHONE_STATE,android.intent.action.PACKAGE_RESTARTED,READ_INPUT_STATE,READ_EXTERNAL_STORAGE,Ljava.lang.Object.getClass,SET_ORIENTATION,DEVICE_POWER,EXPAND_STATUS_BAR,GET_TASKS,GLOBAL_SEARCH,GET_PACKAGE_SIZE,SET_PREFERRED_APPLICATIONS,android.intent.action.PACKAGE_CHANGED,class
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,S
0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,S
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,S
1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,S
0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,S
0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,S
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,S
0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,S
0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,S
